Hyperparams,Best_Val_Loss
lr0.0001_bs64_hd128_nl3_nh4_cd64_k16,tensor([0.0116])
lr0.0001_bs64_hd128_nl3_nh4_cd8_k16,tensor([0.0115])
lr0.0001_bs64_hd128_nl3_nh16_cd8_k16,tensor([0.0115])
lr0.0001_bs64_hd128_nl3_nh4_cd512_k16,tensor([0.0119])
lr0.0001_bs64_hd128_nl3_nh4_cd8_k48,tensor([0.0114])
lr0.0001_bs64_hd128_nl3_nh4_cd8_k90,tensor([0.0112])
lr0.0001_bs64_hd128_nl3_nh4_cd512_k48,tensor([0.0111])
lr0.0001_bs64_hd128_nl3_nh4_cd64_k90,tensor([0.0111])
lr0.0001_bs64_hd128_nl3_nh4_cd512_k90,tensor([0.0114])
lr0.0001_bs64_hd128_nl3_nh4_cd64_k48,tensor([0.0115])
lr0.0001_bs64_hd128_nl3_nh16_cd64_k16,tensor([0.0116])
lr0.0001_bs64_hd128_nl3_nh16_cd8_k48,tensor([0.0113])
lr0.0001_bs64_hd128_nl3_nh16_cd512_k16,tensor([0.0118])
lr0.0001_bs64_hd128_nl3_nh16_cd8_k90,tensor([0.0113])
lr0.0001_bs64_hd128_nl3_nh16_cd512_k48,tensor([0.0114])
lr0.0001_bs64_hd128_nl5_nh4_cd8_k16,tensor([0.0114])
lr0.0001_bs64_hd128_nl3_nh16_cd64_k90,tensor([0.0109])
lr0.0001_bs64_hd128_nl3_nh16_cd512_k90,tensor([0.0118])
lr0.0001_bs64_hd128_nl3_nh16_cd64_k48,tensor([0.0114])
lr0.0001_bs64_hd128_nl5_nh4_cd64_k16,tensor([0.0112])
lr0.0001_bs64_hd128_nl5_nh4_cd512_k16,tensor([0.0117])
lr0.0001_bs64_hd128_nl5_nh16_cd8_k16,tensor([0.0113])
lr0.0001_bs64_hd128_nl5_nh16_cd64_k16,tensor([0.0116])
lr0.0001_bs64_hd128_nl5_nh16_cd512_k16,tensor([0.0114])
lr0.0001_bs64_hd256_nl3_nh4_cd16_k90,tensor([0.0113])
lr0.0001_bs64_hd256_nl3_nh4_cd64_k90,tensor([0.0112])
lr0.0001_bs64_hd256_nl3_nh4_cd512_k90,tensor([0.0113])
lr0.0001_bs64_hd256_nl3_nh16_cd64_k90,tensor([0.0110])
lr0.0001_bs64_hd256_nl3_nh16_cd512_k90,tensor([0.0114])
lr0.0001_bs64_hd256_nl3_nh16_cd16_k90,tensor([0.0113])
